,072023_Carolina_2023_Baya_053_MCAV_S3,072023_Carolina_2023_Baya_055_MCAV_S4,122021_Coralina_2021_Baya_003_MCAV_S27,122021_Coralina_2021_Baya_005_MCAV_S28,122021_Coralina_2021_Baya_007_MCAV_S29,122021_Coralina_2021_Baya_017_MCAV_S30,122021_Coralina_2021_Baya_023_MCAV_S31
2748319,470.4261557,365.9937455,795.1401037,578.4433447,607.5597795,0,586.2133284
1904463,411.6228862,4344.81684,540.6952705,578.4433447,451.3301219,1026.167265,213.168483
1288,1276.870994,500.0706622,1399.446582,1499.667931,399.2535694,801.693176,879.3199925
273371,772.8429701,460.2099572,699.7232912,1092.615207,876.6219676,865.8286301,999.2272642
78579,705.6392335,311.6382387,890.5569161,749.8339653,486.0478236,641.3545408,652.8284793
1784714,0,101.4636126,0,0,0,0,0
197653,0,0,0,0,512.0860999,0,0
293387,386.421485,275.4012342,0,599.8671723,364.5358677,897.8963571,293.1066642
582,268.8149461,199.3035248,572.5008747,278.5097586,494.7272491,1026.167265,599.5363585
1004,327.6182156,202.9272252,0,364.2050689,0,577.2190867,0
37727,420.0233533,224.6694279,890.5569161,557.0195171,225.665061,448.9481786,359.7218151
1714849,1058.45885,1250.176655,540.6952705,1199.734345,503.4066745,352.7449974,612.8593887
136468,0,90.59251126,0,0,0,0,0
1283,336.0186826,275.4012342,1081.390541,492.7480344,503.4066745,833.760903,373.0448453
1460447,974.4541797,728.3637905,1113.196145,1049.767551,468.6889728,994.0995382,626.1824189
2546360,336.0186826,54.35550676,0,942.6484136,494.7272491,1154.438173,426.3369661
818,663.6368982,474.704759,1272.224166,1092.615207,572.8420779,737.5577219,759.4127208
729,268.8149461,228.2931284,699.7232912,364.2050689,225.665061,0,279.783634
1478,562.8312934,275.4012342,1304.02977,578.4433447,676.9951829,865.8286301,652.8284793
258,907.2504431,793.5903986,667.9176871,1628.210896,659.6363321,929.9640841,892.6430227
1080349,831.6462395,373.2411464,858.751312,985.4960687,581.5215033,705.4899949,746.0896906
630,142.8079401,170.3139212,954.1681244,0,1293.234388,897.8963571,639.5054491
456999,352.8196168,184.808723,572.5008747,0,173.5885084,737.5577219,279.783634
1775926,352.8196168,184.808723,0,235.6621034,468.6889728,384.8127245,359.7218151
1685958,0,0,413.4728539,0,0,0,253.1375736
155978,294.0163473,304.3908378,349.8616456,557.0195171,251.7033372,609.2868138,239.8145434
83655,378.021018,431.2203536,795.1401037,985.4960687,867.9425422,1250.641355,1132.457566
