Gene_Family,072023_Carolina_2023_Baya_052_DCYL_S9,072023_Carolina_2023_Baya_065_DCYL_S1,072023_Carolina_2023_Baya_066_DCYL_S2,122021_Coralina_2021_Baya_001_DCYL_S24,122021_Coralina_2021_Baya_009_DCYL_S25,122021_Coralina_2021_Baya_010_DCYL_S26
2.7.7.1-RXN: (expasy) Nicotinamide-nucleotide adenylyltransferase [2.7.7.1],0,0,0,0,0,0
2.7.7.13-RXN: (expasy) Mannose-1-phosphate guanylyltransferase [2.7.7.13],0,0,115.242,0,0,0
2.7.7.15-RXN: (expasy) Choline-phosphate cytidylyltransferase [2.7.7.15],0,0,0,0,0,0
2.7.7.33-RXN: (expasy) Glucose-1-phosphate cytidylyltransferase [2.7.7.33],0,0,48.656,0,0,0
2.7.7.60-RXN: (expasy) 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [2.7.7.60],0,0,0,0,89.5462,0
2.7.7.8-RXN: (expasy) Polyribonucleotide nucleotidyltransferase [2.7.7.8],1.36002,0,175.943,95.5263,0,0
2.7.8.11-RXN: (expasy) CDP-diacylglycerol--inositol 3-phosphatidyltransferase [2.7.8.11],0,0,0,0,0,0
2.7.8.24-RXN: (expasy) Phosphatidylcholine synthase [2.7.8.24],0,0,0,48.1563,0,0
2.7.8.25-RXN: (expasy) Triphosphoribosyl-dephospho-CoA synthase [2.4.2.52],0,0,0,0,0,0
2.7.8.6-RXN: (expasy) Undecaprenyl-phosphate galactose phosphotransferase [2.7.8.6],0,0,0,0,0,0
"2.7.9.3-RXN: (expasy) Selenide, water dikinase [2.7.9.3]",1.04269,0,22.7081,0,0,0
2.8.1.6-RXN: (expasy) Biotin synthase [2.8.1.6],0.349616,0,150.118,0,0,0
2.8.3.17-RXN: (expasy) 3-(aryl)acryloyl-CoA:(R)-3-(aryl)lactate CoA-transferase [2.8.3.17],0,0,0,0,0,0
2.8.3.7-RXN: (expasy) Succinyl-CoA--L-malate CoA-transferase [2.8.3.22],1.15373,0,0,0,0,0
2.8.3.9-RXN: (expasy) Butyrate--acetoacetate CoA-transferase [2.8.3.9],0,0,0,0,0,0
2.9.1.1-RXN: (expasy) L-seryl-tRNA(Sec) selenium transferase [2.9.1.1],1.91627,0,16.2049,0,0,0
"24-DIAMINOPENTANOATE-DEHYDROGENASE-RXN: (expasy) 2,4-diaminopentanoate dehydrogenase [1.4.1.12]",0,0,0,0,0,0
"24-DICHLOROPHENOL-6-MONOOXYGENASE-RXN: (expasy) 2,4-dichlorophenol 6-monooxygenase [1.14.13.20]",0,0,0,0,0,0
"25-DIOXOVALERATE-DEHYDROGENASE-RXN: (expasy) 2,5-dioxovalerate dehydrogenase [1.2.1.26]",0,0,0,0,0,0
2OXOGLUTDECARB-RXN: (expasy) Oxoglutarate dehydrogenase (succinyl-transferring) [1.2.4.2],0,0,19.9778,0,0,0
2PGADEHYDRAT-RXN: (expasy) Phosphopyruvate hydratase [4.2.1.11],1.56818,134.442,122.269,134.674,0,0
2TRANSKETO-RXN: (expasy) Transketolase [2.2.1.1],1.06265,0,73.8613,330.615,0,0
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN: (expasy) 3-methyl-2-oxobutanoate hydroxymethyltransferase [2.1.2.11],0.889118,0,106.939,77.6916,0,0
3-DEHYDROQUINATE-DEHYDRATASE-RXN: (expasy) 3-dehydroquinate dehydratase [4.2.1.10],0,0,116.044,0,0,0
3-DEHYDROQUINATE-SYNTHASE-RXN: (expasy) 3-dehydroquinate synthase [4.2.3.4],0.675827,0,79.3883,0,0,45.4692
3-DEHYDROSPHINGANINE-REDUCTASE-RXN: (expasy) 3-dehydrosphinganine reductase [1.1.1.102],0,0,22.4992,0,0,0
3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN: (expasy) 3-hydroxybutyryl-CoA dehydratase [4.2.1.55],0,0,0,0,0,0
3-HYDROXY-KYNURENINASE-RXN: (expasy) Kynureninase [3.7.1.3],0,0,8.10243,0,0,0
3-HYDROXYASPARTATE-ALDOLASE-RXN: (expasy) 3-hydroxy-D-aspartate aldolase [4.1.3.41],0,0,0,0,0,0
3-HYDROXYBENZOATE-6-MONOOXYGENASE-RXN: (expasy) 3-hydroxybenzoate 6-monooxygenase [1.14.13.24],0,0,0,0,0,0
3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN: (expasy) 3-hydroxybutyrate dehydrogenase [1.1.1.30],0,0,0,0,0,0
3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN: (expasy) 3-hydroxybutyryl-CoA dehydrogenase [1.1.1.157],0,0,26.8541,93.6393,209.229,0
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59],1.17154,16.866,178.443,66.008,0,0
3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN: (expasy) 3-hydroxyisobutyrate dehydrogenase [1.1.1.31],0,0,0,0,0,0
3-HYDROXYISOBUTYRYL-COA-HYDROLASE-RXN: (expasy) 3-hydroxyisobutyryl-CoA hydrolase [3.1.2.4],0,0,0,0,0,0
3-NUCLEOTID-RXN: (expasy) 3'-nucleotidase [3.1.3.6],0,0,0,120.194,0,0
3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN: (expasy) 4-hydroxy-3-polyprenylbenzoate decarboxylase [4.1.1.98],0,0,48.4704,0,0,0
3-OXOACID-COA-TRANSFERASE-RXN: (expasy) 3-oxoacid CoA-transferase [2.8.3.5],0,0,18.3488,64.51,0,0
3-OXOACYL-ACP-REDUCT-RXN: (expasy) 3-oxoacyl-[acyl-carrier-protein] reductase [1.1.1.100],0,0,156.494,211.33,0,0
3-OXOACYL-ACP-SYNTH-BASE-RXN: (expasy) AMBIGUOUS [2.3.1.179; 2.3.1.41],1.52648,0,142.827,157.214,0,0
3-OXOACYL-ACP-SYNTH-RXN: (expasy) AMBIGUOUS [2.3.1.179; 2.3.1.41],0,0,306.019,98.2838,0,0
3-OXOADIPATE-COA-TRANSFERASE-RXN: (expasy) 3-oxoadipate CoA-transferase [2.8.3.6],0,0,0,0,0,0
